Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
consola.finance,https://www.crunchbase.com/organization/consola-finance,"Accounting, Analytics, B2B, Web3","Vienna, Wien, Austria",consola.finance is a business-to-business finance and accounting SaaS platform that aims to automate financial processes.,"85,332",2024-03-12,day,,https://consola.finance,https://twitter.com/consolafinance,https://www.linkedin.com/company/consola-finance,"Speedinvest, Blockchain Founders Fund, Johann ""Hansi"" Hansmann, Eric Demuth, Diamond hands"
Stablehouse,https://www.crunchbase.com/organization/stablehouse,"Cryptocurrency, Financial Exchanges, Financial Services, Information Technology","Hamilton, Hamilton, Bermuda","Investment platform for individuals and institutions who seek innovative, sustainable, and compliant opportunities through digital assets.","87,352",2023-08-10,day,,https://www.stablehouse.com,https://twitter.com/stablehouse,https://www.linkedin.com/company/stablehouse,"Dragonfly, Liberty City Ventures, Lukka, XBTO Group, John O'Brien"
Canaan Creative,https://www.crunchbase.com/organization/canaan-creative,"Bitcoin, Electronics, Information Technology, Manufacturing, Semiconductor, Software","Beijing, Beijing, China",Canaan Creative is a producer of Blockchain servers and solutions for repetition ASIC chips.,"87,824",2016-06-08,day,2019-11-22,https://canaan.io,https://twitter.com/canaanio,https://www.linkedin.com/company/%E5%98%89%E6%A5%A0%E8%80%98%E6%99%BA/,"Tunlan Investment, Fundamental Labs, Jinjiang International, Baopu Asset Management"
Transpose,https://www.crunchbase.com/organization/nfty-cty,"Blockchain, Developer APIs, Ethereum, Information Technology, Software, Web3","New York, New York, United States",Transpose is a Web3 data and infrastructure startup.,"88,275",2023-05-30,day,,https://transpose.io,https://twitter.com/TransposeData,https://www.linkedin.com/company/transpose,"MaC Venture Capital, Pareto Holdings, Soma Capital, Nadav Ben-Chanoch, Jon Oringer"
Pulsar Finance,https://www.crunchbase.com/organization/pulsar-finance,"Cryptocurrency, Ethereum, Finance, FinTech","Sydney, New South Wales, Australia","Pulsar Finance aims to streamline access to relevant data for users and developers alike, making the management and development.","91,560",2023-11-13,day,,https://pulsar.finance,https://twitter.com/PulsarFinance/,,"NEAR, Terra, Accomplice, Signum Capital, Cetacean Capital"
N3TWORK,https://www.crunchbase.com/organization/n3twork,"Analytics, Blockchain, Casual Games, Developer Platform, Gamification, Gaming, Mobile Apps, Publishing, Software, Video Games","San Francisco, California, United States","Creating, publishing, and scaling the very best in mobile games.","95,457",2022-01-13,day,,http://www.n3twork.com,,https://www.linkedin.com/company/n3twork-studios-inc,"Floodgate, Kleiner Perkins, Griffin Gaming Partners, Korea Investment Partners, Galaxy Interactive"
Grayscale Bitcoin Trust,https://www.crunchbase.com/organization/grayscale-bitcoin-trust,"Bitcoin, Blockchain, Finance, Financial Services","New York, New York, United States",Grayscale Bitcoin Trust is a digital currency investment company providing a familiar structure for financial and tax advisors.,"98,147",,,2015-05-25,https://grayscale.com,,https://www.linkedin.com/company/grayscale-investments/,"ARK Investment Management, BlockFi, Rothschild Investment Corporation"
StrongSalt,https://www.crunchbase.com/organization/overnest-inc,"Blockchain, Cloud Security, Computer, Enterprise Applications, Enterprise Software, Internet, Privacy, Security, Software","San Jose, California, United States","StrongSalt is building a secure team communication application providing encrypted messaging, archiving, and search for innovative teams.","99,962",2022-02-15,day,,https://www.strongsalt.com/index.html,https://twitter.com/getstrongsalt,https://www.linkedin.com/company/strongsalt/,"Fusion Fund, UpHonest Capital, DHVC, Valley Capital Partners, Wei Guo"
StreetCred,https://www.crunchbase.com/organization/streetcred,"Blockchain, Data Integration, Location Based Services, Mapping Services","New York, New York, United States",StreetCred offers accessible data for places people care about.,"102,538",2021-01-11,day,,https://www.streetcred.co/,https://twitter.com/streetcredlabs,https://www.linkedin.com/company/streetcredlabs,"Wonder Ventures, Bowery Capital, Notation Capital, Studio VC, Nicholas Chirls"
Purse,https://www.crunchbase.com/organization/purse-io,"Bitcoin, Cryptocurrency, FinTech","San Francisco, California, United States",Purse provides real incentive to use Bitcoin to the largest selection at the lowest price points.,"103,463",2023-06-30,day,,https://purse.io,http://twitter.com/purseio,http://www.linkedin.com/company/purseio,"Plug and Play, Strong Ventures, Digital Currency Group, FundersClub, Digital Finance Group (DFG)"
LastRoots,https://www.crunchbase.com/organization/lastroots,Cryptocurrency,"Tokyo, Tokyo, Japan",LastRoots  is a cryptocurrency developer.,"106,611",2019-01-29,day,,https://www.lastroots.com/,,https://www.linkedin.com/company/13434318/,"SBI Investment, SBI Group, Exia, OKWave"
Proxy,https://www.crunchbase.com/organization/martians,"Augmented Reality, Blockchain, Consumer, Identity Management, Information Technology, Mobile, Mobile Apps, Software","San Francisco, California, United States","Access More, Share Less. Proxy designs and builds privacy-first, human-led, identity technologies. With Proxy ID, your world is now open.","109,761",2023-05-09,day,,https://proxy.co/,,https://www.linkedin.com/company/proxy-technologies/,"Y Combinator, Coatue, Kleiner Perkins, Blackbird Ventures, Silicon Valley Bank"
Kik,https://www.crunchbase.com/organization/kik-interactive,"Apps, Cryptocurrency, Messaging, Mobile, Social Media, Video Chat, Wireless","Waterloo, Ontario, Canada","Kik lets users connect with friends, groups, and the world around them through chat.","111,279",2019-10-19,day,,http://kik.com/,http://twitter.com/kik,http://www.linkedin.com/company/kik-interactive-inc,"Union Square Ventures, Spark Capital, Foundation Capital, Tencent, SV Angel"
Wuzu,https://www.crunchbase.com/organization/wuzu,"Cryptocurrency, Internet","Curitiba, Parana, Brazil",Wuzu is a liquidity and technology provider that connects multiple exchanges on the same matching engine.,"111,810",2022-03-06,day,,http://wuzu.io,https://twitter.com/wuzumxn,https://www.linkedin.com/company/wuzu/,"Bossa Invest, CapTable, SuperJobs, Duxx Investimentos, 100 Open Angels"
BC Group,https://www.crunchbase.com/organization/branding-china-group,"Blockchain, Financial Services, Marketing","Causeway Bay, Hong Kong Island, Hong Kong",BC Group is a holding company that specializes in digital assets and blockchain platforms.,"113,338",,,2012-04-27,https://bc.group,https://twitter.com/bctechgroup,https://www.linkedin.com/company/bctechgroup,"GIC, Fidelity International, BGX"
CryptoFacilities,https://www.crunchbase.com/organization/cryptofacilities,"Bitcoin, Financial Services, FinTech","London, England, United Kingdom",Crypto Facilities is a London-based financial services firm and provides risk management and trading solutions.,"113,442",2019-02-04,day,,https://www.cryptofacilities.com/,https://twitter.com/cryptofltd,https://www.linkedin.com/company/crypto-facilities-ltd,"Digital Currency Group, Playfair Capital, Pamir Gelenbe, String Ventures, Lee Robinson"
Chain Debrief,https://www.crunchbase.com/organization/chain-debrief,Cryptocurrency,"Singapore, Central Region, Singapore",Chain Debrief operates as a media platform dedicated to crypto.,"118,982",2024-08-20,day,,https://chaindebrief.com/,https://twitter.com/chaindebrief,https://www.linkedin.com/company/chaindebrief/,"CoinHako, QCP Capital, Double Peak Group, Arthur Cheong, Gecko Ventures"
Origins Analytics,https://www.crunchbase.com/organization/origins-analytics,"Analytics, Blockchain, Cryptocurrency, Software",,Origins Analytics provides analytics software using on- and off-chain data.,"126,914",2023-11-02,day,,https://originsnft.io,https://twitter.com/OriginsNFT,https://www.linkedin.com/company/origins-analytics,"Twelve Below, Saison Capital, The Spartan Group, Mirana, Folius Ventures"
Curisium,https://www.crunchbase.com/organization/curisium,"Blockchain, Health Care","Manhattan Beach, California, United States",Innovative Healthcare Contracting,"128,330",2020-07-20,day,,http://www.curisium.com,https://twitter.com/curisium,https://www.linkedin.com/company/curisium/,"New Enterprise Associates, Flare Capital Partners, Green Bay Ventures, Sanofi Ventures, Shuttle Fund"
Truffle Suite,https://www.crunchbase.com/organization/truffle-suite,"Blockchain, Computer, Information Technology, Software","Brooklyn, New York, United States",Truffle Suite provides world class development environment for blockchain dapps.,"129,419",2020-11-18,day,,https://www.trufflesuite.com,https://twitter.com/trufflesuite,https://www.linkedin.com/company/trufflesuite/,ConsenSys
Bitski,https://www.crunchbase.com/organization/bitski,"Apps, Blockchain, Content Creators, Cryptocurrency, Non-Fungible Token (NFT)","San Francisco, California, United States",Bitski provides blockchain wallet infrastructure for creating and selling NFTs.,"129,768",2024-05-21,day,,https://www.bitski.com,https://twitter.com/bitski,https://www.linkedin.com/company/bitski,"Andreessen Horowitz, Village Global, Founders Fund, Coinbase Ventures, SV Angel"
Mooch,https://www.crunchbase.com/organization/mooch-b0ec,"Blockchain, Consumer, FinTech","San Francisco, California, United States","Consumer app focused on personal finance automation on payday using AI to help people budget, shop, and save money.","130,826",2024-10-03,day,,https://amoochlife.com,,https://www.linkedin.com/company/amoochlife/,"Hustle Fund, Orange DAO, Bee Partners, f7 Ventures, Sprint Vc"
Biscoint,https://www.crunchbase.com/organization/biscoint,"Bitcoin, Information Technology","Navegantes, Santa Catarina, Brazil",Biscoint is a platform that buys and sells cryptocurrency and bitcoin.,"131,317",2022-07-21,day,,https://biscoint.io/biscointbuy/learn-more,https://twitter.com/biscoint?lang=en,https://www.linkedin.com/company/biscoint-io/,Bossa Invest
Forkast.News,https://www.crunchbase.com/organization/forkast-news,"Blockchain, Digital Media, News, Online Portals","Hong Kong, Hong Kong Island, Hong Kong","Forkast.News is a digital media platform covering blockchain and emerging tech at the intersection of business, economy, and politics.","134,520",2023-01-17,day,,http://www.forkast.news,https://twitter.com/Forkast_News,https://www.linkedin.com/company/forkastnews/,"Animoca Brands, Alibaba Entrepreneurs Fund, CMCC Global, AMTD Group, Fenbushi Capital"
Bottlepay,https://www.crunchbase.com/organization/bottle-pay,"Apps, Bitcoin, Financial Services, FinTech, Mobile Payments","Newcastle, Newcastle upon Tyne, United Kingdom","Bottle Pay is an app company providing mobile payment, mobile banking, and financial services.","135,371",2021-10-29,day,,https://bottlepay.com,https://twitter.com/bottlepay,https://www.linkedin.com/company/bottlepay/,"NYDIG, FinTech Collective, Alan Howard, Phil Doye"
Stryking Entertainment,https://www.crunchbase.com/organization/stryking-entertainment,"Blockchain, Fantasy Sports, Gaming","Berlin, Berlin, Germany",Stryking Entertainment specializes in sports fan engagement and monetization by combining the real and virtual world.,"135,582",2019-04-04,day,,http://www.stryking.com,http://twitter.com/Stryking_com,http://www.linkedin.com/company/2674508,"True Global Ventures (TGV), German Startups Group"
Picks & Shovels,https://www.crunchbase.com/organization/the-picks-shovels-co,"Cryptocurrency, Financial Services","San Francisco, California, United States",The Picks & Shovels Co. crafting tools for investors and traders of digital currencies and crypto assets.,"142,734",2019-07-31,day,,https://picks.co/,https://twitter.com/picksco,https://www.linkedin.com/company/picks-and-shovels,"Boost VC, Meltem Demirors, GINCO Investments, Tyler Willis"
Stakes,https://www.crunchbase.com/organization/stakes,"Blockchain, Cryptocurrency, Mobile Apps, Social Media, Sports","New York, New York, United States",Stakes is a social wagering platform for NFTs that transforms sports betting into a more social activity,"145,394",2024-04-16,day,,https://www.playwithstakes.com,https://twitter.com/playwithstakes,https://www.linkedin.com/company/playwithstakes,"Digital Currency Group, Matrixport, Cadenza Ventures, LD Capital, Visary Capital"
Lawnmower,https://www.crunchbase.com/organization/lawnmower,"Analytics, Apps, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, News, Trading Platform","San Francisco, California, United States","Bitcoin & Blockchain Investing, News & Market Data","145,408",2017-01-30,day,,http://lawnmower.io,http://twitter.com/lawnmowerio,http://linkedin.com/company/lawnmower,"Boost VC, Startupbootcamp, Startupbootcamp Fintech New York"
Dharma Labs,https://www.crunchbase.com/organization/dharma-labs,"Blockchain, Credit, FinTech, Lending, Peer to Peer","San Francisco, California, United States",Dharma Labs is a protocol for generic tokenized debt agreements.,"151,093",2022-01-17,day,,https://dharma.io/,https://twitter.com/Dharma_HQ,https://www.linkedin.com/company/dharma-protocol/,"Y Combinator, Coinbase Ventures, Cantos, Lemniscap, FinTech Collective"
Omniex,https://www.crunchbase.com/organization/omniex,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Software, Trading Platform","San Francisco, California, United States","Omniex develops software infrastructure that integrates front, middle, and back-office services to simplify access and remove fragmentation.","158,771",2022-01-19,day,,https://omniex.io,https://twitter.com/OmniexInc,https://www.linkedin.com/company/omniexinc/,"Digital Currency Group, Sierra Ventures, Jump Capital, Clocktower Technology Ventures, SIX"
Blanksoles,https://www.crunchbase.com/organization/blanksoles,Blockchain,,Blanksoles is an online platform where sneakerheads can launch both physical and digital collections.,"163,020",2023-05-01,day,,https://www.blanksoles.com,https://twitter.com/blanksoles,https://www.linkedin.com/company/blanksoles,"Solana Ventures, Vivek Ranadive"
Earn.com,https://www.crunchbase.com/organization/earn-com,"Bitcoin, Cryptocurrency, Email, FinTech, Internet, Social Network, Virtual Currency","San Francisco, California, United States",Earn money for replying to emails and completing tasks.,"163,489",2018-04-16,day,,https://earn.com/,https://x.com/earndotcom,https://www.linkedin.com/company/18311064/,"Andreessen Horowitz, Khosla Ventures, Founders Fund, Pantera Capital, Qualcomm Ventures"
iCandy Interactive Limited,https://www.crunchbase.com/organization/icandy-interactive-limited,"Digital Entertainment, Mobile, Web3","Melbourne, Victoria, Australia",iCandy Group is one of Southeast Asia's largest game developer - developing cross-platform conventional and Web3 games,"163,635",,,2016-02-04,http://www.icandy.io,https://twitter.com/icandyinteract,https://www.linkedin.com/company-beta/6583196/,"Animoca Brands, Fatfish Internet Group"
Disco,https://www.crunchbase.com/organization/disco-xyz,"Consulting, Information Services, Information Technology, Web3","New York, New York, United States",Disco enables users to enjoy nuanced web3 reputation associated to public identifiers across chains and web2.,"167,205",2024-09-10,day,,https://www.disco.xyz/,https://twitter.com/discoxyz,https://www.linkedin.com/company/disco-xyz/,WAGMI Ventures
BlockSeer,https://www.crunchbase.com/organization/blockseer,"Analytics, Artificial Intelligence (AI), Bitcoin, Finance, Machine Learning","Palo Alto, California, United States",Blockseer provides the analytics tools for transactions and applications on the blockchain.,"170,102",2018-02-13,day,,https://www.blockseer.com,https://www.twitter.com/blockseer,https://www.linkedin.com/company/6600036,"Plug and Play, ZhenFund, Amasia, TSVC, Fenbushi Capital"
Sealance Corp.,https://www.crunchbase.com/organization/sealance-corp,"Blockchain, Financial Services","Miami, Florida, United States",Sealance is a developer of platform for financial compliance into digital currencies using privacy-preserving cryptography.,"183,514",2025-02-27,day,,https://www.sealance.io/,https://twitter.com/sealance_io,https://www.linkedin.com/company/sealance,"Coinbase Ventures, Ribbit Capital, Galaxy Digital, DCG Expeditions, Gemini Frontier Fund"
Fineqia,https://www.crunchbase.com/organization/fineqia,"Blockchain, Financial Services","Vancouver, British Columbia, Canada",Fineqia provides a platform to support and manage securities issuances and debt securities.,"186,133",,,2016-11-01,https://www.fineqia.com,https://twitter.com/FineqiaPlatform,https://www.linkedin.com/company/fineqia/,Wavemaker Genesis
Robinland,https://www.crunchbase.com/organization/robinland,"Cryptocurrency, FinTech, Real Estate, Virtual Currency","Sunnyvale, California, United States",Robinland engages in real estate on-chain crypto tokens to help real estate developers access liquidity from Defi lenders.,"191,009",2023-05-23,day,,https://www.robinland.io,https://twitter.com/Robinlandio,https://www.linkedin.com/company/robinland,"Great Wave Ventures, Eniac Ventures"
Klevoya,https://www.crunchbase.com/organization/klevoya,"Blockchain, Cyber Security, Smart Contracts, Web Development","Cambridge, Cambridgeshire, United Kingdom",Klevoya aims to help EOSIO app developers to deliver bug-free secure codes through their smart contract analysis and execution engine.,"196,531",2021-12-02,day,,https://klevoya.com/#home,https://twitter.com/klevoya?lang=en,https://www.linkedin.com/company/klevoya,"Block.one, EOS VC Fund"
US Bitcoin Corp,https://www.crunchbase.com/organization/us-bitcoin-corp,"Bitcoin, Cryptocurrency, Data Mining","Miami, Florida, United States","US Bitcoin Corp is offering cost-effective mining, enabling consumers to have access to feasible mining services.","219,263",2023-02-07,day,,https://www.usbtccorp.com/,,https://www.linkedin.com/company/usbtc,"Blockchain Founders Fund, Archetype, Bossa Invest, 25madison, Accomplice"
Steemit,https://www.crunchbase.com/organization/steemit,"Advertising, Blockchain, Cryptocurrency, Social Media","New York, New York, United States",Steemit is a social media platform built on a decentralized database.,"224,645",2020-02-24,day,,https://steemit.com,https://twitter.com/steemit,https://www.linkedin.com/company/steemit/,INBlockchain
Slise,https://www.crunchbase.com/organization/slise,"Advertising, Analytics, Cryptocurrency, Web3","Wilmington, Delaware, United States",Slise is a web3-native ad network,"236,906",2024-12-05,day,,https://slise.xyz,https://twitter.com/slise_xyz,https://www.linkedin.com/company/slise-xyz/,"Alliance DAO, Cory Levy, hi5 Ventures, w3coins"
ZASH,https://www.crunchbase.com/organization/zash-bddc,"Blockchain, Data Integration","London, England, United Kingdom",Zash is the NFT data infrastructure and intelligence API.,"254,227",2023-11-22,day,,https://www.zash.sh/,https://twitter.com/zash_api,https://www.linkedin.com/company/joinzash,"Entrepreneurs First, Connect Ventures, Pareto Holdings, SGH CAPITAL, Edward Lando"
Flashy Cash,https://www.crunchbase.com/organization/flashy-cash,"Blockchain, Cryptocurrency, FinTech, Payments, Web3","Funchal, Madeira, Portugal","Flashy Cash is a cryptocurrency, fintech, web3, (d)app, and payment platform.","254,869",2025-01-23,day,,https://flashy.cash/,,,FunFair Ventures
CoinNess.com,https://www.crunchbase.com/organization/coinness-com,"Bitcoin, Blockchain, Cryptocurrency, Digital Media, Software","Hong Kong, Hong Kong Island, Hong Kong",Blockchain and Cryptocurrency Media,"271,373",2021-11-12,day,,https://www.coinness.com/,https://twitter.com/CoinNessCom,https://www.linkedin.com/company/coinness-com/,"Foresight Ventures, Frees Fund, Shunwei Capital, QF Capital"
Damex,https://www.crunchbase.com/organization/damex,"Asset Management, Blockchain, Cryptocurrency, Financial Services","Gibraltar, Gibraltar, Gibraltar","Damex is a platform for payments that provides sending and storing of cryptocurrencies, digital assets, and blockchain services.","275,157",2024-10-14,day,,https://www.damex.io/,https://twitter.com/damex_io?lang=en,https://www.linkedin.com/company/damexio/,"FunFair Ventures, coinIX, Cetacean Capital, Alpha Praetorian Capital, Belobaba Fund"
XD Academy,https://www.crunchbase.com/organization/xd-academy,"Blockchain, Cryptocurrency, E-Learning, Education","Singapore, Central Region, Singapore","XD Academy is a e-learning platform that provides education contents on crypto, trading, and blockchain.","280,254",2024-12-06,day,,https://xd.academy/,https://twitter.com/xd_academy,https://www.linkedin.com/company/xdacademyofficial/,"SOSV, Orbit Startups, Maelstrom, Great South Gate"
Lition Technology,https://www.crunchbase.com/organization/lition-fbb2,"Blockchain, Information Technology","Vaduz, Vaduz, Liechtenstein","Blockchain, Infrastructure Provider, Deletable Blockchain","282,843",2020-10-28,day,,http://www.lition.io,,https://www.linkedin.com/company/18599556,LongHash Ventures
Bitaccess,https://www.crunchbase.com/organization/bitaccess,"Bitcoin, Blockchain, Cloud Management, Finance, FinTech, Software","Ottawa, Ontario, Canada",Bitaccess Inc is a Canadian Fintech startup focusing on Blockchain technologies.,"285,330",2022-11-02,day,,https://www.bitaccess.ca,http://twitter.com/Bitaccess,https://www.linkedin.com/company/bitaccess/,"Y Combinator, FundersClub, Pantera Capital, Blockchain Capital, Real Ventures"
Xunlei,https://www.crunchbase.com/organization/kankan,"Blockchain, Cloud Computing, Information Technology, Software","Shenzhen, Guangdong, China",Xunlei Limited is a global innovator in shared computing and blockchain technology.,"298,412",,,2014-06-24,http://www.xunlei.com/,,http://www.linkedin.com/company/3822035,"Google, Morningside, Xiaomi, IDG Capital, Primavera Capital Group"
Sonar,https://www.crunchbase.com/organization/sonar-9804,Web3,"San Francisco, California, United States",Sonar is a social gaming application that incorporates web3 support and allows users to play games while supporting blockchain technology.,"299,507",2022-12-05,day,,https://sonar.app,https://twitter.com/Sonar,https://www.linkedin.com/company/sonar,Y Combinator
BuyWithMe,https://www.crunchbase.com/organization/buywithme,"Banking, Blockchain, Communities, Cryptocurrency, E-Commerce, Financial Services, Group Buying, Mobile Payments, Payments, Transaction Processing","New York, New York, United States","BuyWithMe is providing a borderless payment ecosystem through QR code and Libra coins,  where local merchants can offer deals to members","314,079",2011-11-02,day,,https://www.buywithme.app,,,"Bain Capital, Bain Capital Ventures, Matrix, Christian Dahlen, Pinnacle Ventures"
LeagueDAO,https://www.crunchbase.com/organization/leaguedao,"Blockchain, Cryptocurrency, Virtual Currency","Los Angeles, California, United States",LeagueDAO is a decentralized open source project that builds tokenized fantasy sports.,"370,476",2022-09-20,day,,https://leaguedao.com,https://x.com/leaguedao,,6th Man Ventures
Routefire,https://www.crunchbase.com/organization/routefire,"Cryptocurrency, Information Technology, Trading Platform","San Francisco, California, United States",Routefire is a provider of trade execution infrastructure in the digital asset space.,"398,770",2020-01-07,day,,https://routefire.io,https://www.twitter.com/routefireio,https://www.linkedin.com/company/routefire/,FJ Labs
Hedgy,https://www.crunchbase.com/organization/hedgy,"Bitcoin, Blockchain, Financial Services, FinTech","San Francisco, California, United States","Hedgy inc is a company creating applications using block chain technology, combining it with common, traditional financial items.","408,422",2018-09-08,day,,https://hedgy.co,http://twitter.com/goHedgy,http://www.linkedin.com/company/hedgy,"Boost VC, Sand Hill Angels, Tim Draper, Marc Benioff"
Coinsetter,https://www.crunchbase.com/organization/coinsetter,"Bitcoin, Finance, FinTech, Trading Platform","New York, New York, United States",Coinsetter operates a Bitcoin trading platform with tools for forex traders.,"412,047",2016-01-16,day,,http://www.coinsetter.com,http://twitter.com/coinsetter,https://www.linkedin.com/company/coinsetter,"Digital Currency Group, Blockchain Capital, Tribeca Venture Partners, Ben Davenport, Cryptonaut Ventures"
ChangeCoin,https://www.crunchbase.com/organization/changecoin,"Bitcoin, Cryptocurrency, Payments, Web Hosting","San Francisco, California, United States","ChangeCoin specializes in the fields of micropayments, bitcoin, social commerce, digital currencies, and payments.","421,775",2016-04-13,day,,https://www.changetip.com/,http://twitter.com/changetip,https://www.linkedin.com/company/changetip,"Plug and Play, 500 Global, Pantera Capital, Blockchain Capital, Digital Currency Group"
Elph Network,https://www.crunchbase.com/organization/elph,"Blockchain, Cryptocurrency, FinTech, Software","San Francisco, California, United States",Elph is a decentralized network of scalable Plasma sidechains that achieve high transaction throughput on top of Ethereum.,"422,167",2019-03-20,day,,https://www.elph.com,https://www.twitter.com/ElphNetwork,https://www.linkedin.com/company/elphnetwork/,"Y Combinator, Coinbase Ventures, The House Fund, Oyster Ventures"
Refinable,https://www.crunchbase.com/organization/refinable,"Cryptocurrency, E-Commerce, Information Technology, Marketplace, Trading Platform","Hong Kong, Hong Kong Island, Hong Kong","Refinable is a digital marketplace that provides NFT buying, creation, trading, and selling services for gamers, collectors, and developers.","528,593",2023-04-17,day,,https://www.refinable.com,https://twitter.com/refinableapp,https://www.linkedin.com/company/refinable/,Momentum 6
SATO,https://www.crunchbase.com/organization/sato-302e,"Bitcoin, Cryptocurrency","Toronto, Ontario, Canada",SATO is a technology company with responsible bitcoin mining at its core.,"544,684",,,2021-09-08,https://corp.bysato.com/,https://twitter.com/SATO_BTC,https://www.linkedin.com/company/satocorp,FJ Labs
Bitnet Technologies,https://www.crunchbase.com/organization/bitnet-technologies,"Bitcoin, Cryptocurrency, E-Commerce, Payments","San Francisco, California, United States",Bitnet Technologies is a digital commerce platform that helps enterprise scale merchants to accept bitcoin payments.,"550,730",2016-10-24,day,,https://bitnet.io/,http://twitter.com/bitnettech,http://www.linkedin.com/company/bitnet-technologies-ltd-?,"Blockchain Capital, Digital Currency Group, Rakuten, Highland Capital Partners, Artis Ventures"
BitQuick,https://www.crunchbase.com/organization/bitquick,"Bitcoin, Finance, Financial Services, FinTech","Cincinnati, Ohio, United States","BitQuick.co connects buyers and sellers directly to their bank accounts, allowing users to buy and sell Bitcoin Instantly. -","630,763",2016-06-06,day,,https://www.bitquick.co/,https://twitter.com/bitquickco,https://www.linkedin.com/company/5161413,Boost VC
CleverCoin,https://www.crunchbase.com/organization/clevercoin,"Banking, Bitcoin, Cryptocurrency, FinTech","Eindhoven, Noord-Brabant, The Netherlands",CleverCoin is a user-friendly bitcoin exchange.,"658,603",2016-06-28,day,,https://www.clevercoin.com,http://twitter.com/clevercoin_com,http://www.linkedin.com/company/clevercoin,Boost VC
Keza,https://www.crunchbase.com/organization/wealthcoin,"Bitcoin, Cryptocurrency","New York, New York, United States",Keza is an exchange and trading platform.,"975,477",2016-08-26,day,,http://www.getkeza.com,https://twitter.com/getkeza,https://www.linkedin.com/company/wealthcoin,"LAUNCH, Digital Currency Group, Boost VC"
Diem,https://www.crunchbase.com/organization/libra-association,"Association, Cryptocurrency, Developer Platform","Geneva, Geneve, Switzerland","Diem is an independent, not-for-profit membership organization that helps people in the creation of a simple global currency.","2,942,064",2022-02-01,day,,https://www.diem.com,https://twitter.com/libra_,https://www.linkedin.com/company/libra-association,"Paradigm, TeleSoft Partners"
