Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Exit Date,Exit Date Precision,Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Qori,https://www.crunchbase.com/organization/qori-6fac,,"Cryptocurrency, Financial Services, Payments, Retail, Service Industry","Paris, Ile-de-France, France",Qori is a pioneer mobile payment solution allowing brick and mortattr merchants to cost-effectively accept bank and crypto payments.,"82,487",2023-03-15,day,2023-03-15,day,,http://www.qori.me/,,https://www.linkedin.com/company/qori-me/?viewAsMember=true,"Systema, Firestartr, Hottinger Group, Golden Record Ventures, T0 Ventures"
Mediachain,https://www.crunchbase.com/organization/mediachain,,"Art, Blockchain, Cryptocurrency, Digital Media, Social Media Marketing","Brooklyn, New York, United States",Mediachain automatically connects media to its creator and information about it.,"83,196",2017-04-26,day,2017-04-26,day,,http://www.mediachain.io/,https://twitter.com/mediachain_,https://www.linkedin.com/company/mediachain-labs-logo/,"Andreessen Horowitz, Union Square Ventures, Digital Currency Group, LDV Capital, RRE Ventures"
Loco,https://www.crunchbase.com/organization/the-loco-app,,"Apps, Blockchain, Gaming, Video Streaming","Mumbai, Maharashtra, India",Loco is an Indian game streaming platform.,"84,958",2024-09-26,day,2024-09-26,day,,https://www.loco.gg/,https://twitter.com/getloconow,https://www.linkedin.com/company/loco-india,"3one4 Capital, Krafton, Makers Fund, Korea Investment Partners, Lumikai"
consola.finance,https://www.crunchbase.com/organization/consola-finance,,"Accounting, Analytics, B2B, Web3","Vienna, Wien, Austria",consola.finance is a business-to-business finance and accounting SaaS platform that aims to automate financial processes.,"85,332",2024-03-12,day,2024-03-12,day,,https://consola.finance,https://twitter.com/consolafinance,https://www.linkedin.com/company/consola-finance,"Speedinvest, Blockchain Founders Fund, Johann ""Hansi"" Hansmann, Eric Demuth, Diamond hands"
Stablehouse,https://www.crunchbase.com/organization/stablehouse,,"Cryptocurrency, Financial Exchanges, Financial Services, Information Technology","Hamilton, Hamilton, Bermuda","Investment platform for individuals and institutions who seek innovative, sustainable, and compliant opportunities through digital assets.","87,352",2023-08-10,day,2023-08-10,day,,https://www.stablehouse.com,https://twitter.com/stablehouse,https://www.linkedin.com/company/stablehouse,"Dragonfly, Liberty City Ventures, Lukka, XBTO Group, John O'Brien"
Transpose,https://www.crunchbase.com/organization/nfty-cty,,"Blockchain, Developer APIs, Ethereum, Information Technology, Software, Web3","New York, New York, United States",Transpose is a Web3 data and infrastructure startup.,"88,275",2023-05-30,day,2023-05-30,day,,https://transpose.io,https://twitter.com/TransposeData,https://www.linkedin.com/company/transpose,"MaC Venture Capital, Pareto Holdings, Soma Capital, Nadav Ben-Chanoch, Jon Oringer"
Bladex,https://www.crunchbase.com/organization/bladex,,"Banking, Bitcoin, Financial Services","Panama City, Panama, Panama","Banco Latinoamericano de Comercio Exterior, S.A. (the Bank or Bladex) a supranational bank established by central banks of Latin American","91,205",1992-10-02,day,,,1992-10-02,http://bladex.com,,https://www.linkedin.com/company/bladex,"BNP Paribas, Wells Fargo"
Pulsar Finance,https://www.crunchbase.com/organization/pulsar-finance,,"Cryptocurrency, Ethereum, Finance, FinTech","Sydney, New South Wales, Australia","Pulsar Finance aims to streamline access to relevant data for users and developers alike, making the management and development.","91,560",2023-11-13,day,2023-11-13,day,,https://pulsar.finance,https://twitter.com/PulsarFinance/,,"NEAR, Terra, Accomplice, Signum Capital, Cetacean Capital"
Kaiju Labs,https://www.crunchbase.com/organization/kaiju-web3-labs,,"Apps, Blockchain, Gaming, Web3","Singapore, Central Region, Singapore",We help game developers build Web3 games with zero blockchain knowledge and let their players sign up in one-click and play with no friction,"92,721",2024-11-21,day,2024-11-21,day,,https://www.kaiju3d.com/,https://twitter.com/kaijuweb3labs,https://www.linkedin.com/company/80856182/admin/feed/posts/,"Tenity, XRPL Grants, nVentures"
SafeWire,https://www.crunchbase.com/organization/safechain-llc,,"Blockchain, Government, Real Estate, Software","Columbus, Ohio, United States",SafeWire provides software to title companies to combat wire fraud in real estate transactions.,"94,339",2021-12-13,day,2021-12-13,day,,https://safewire.com,https://www.twitter.com/safechain_io,https://www.linkedin.com/company/safechain-financial-llc/,"Rev1 Ventures, M25, Aspect Ventures, Social Capital, Precursor Ventures"
Intoolab,https://www.crunchbase.com/organization/iyouth-lab,,"Artificial Intelligence (AI), Biotechnology, Collaboration, EdTech, Health Care, Machine Learning, Natural Language Processing, Software, Web3","London, England, United Kingdom","Intoolab is a Bayesian Network Artificial Intelligence company, to expand and improve data analysis and A.I across video games and Web3.","98,958",2022-05-18,day,2022-05-18,day,,http://www.intoolab.com,https://www.twitter.com/intoolab,https://www.linkedin.com/company/intoolab,"SFC Capital, Digital Science"
StrongSalt,https://www.crunchbase.com/organization/overnest-inc,,"Blockchain, Cloud Security, Computer, Enterprise Applications, Enterprise Software, Internet, Privacy, Security, Software","San Jose, California, United States","StrongSalt is building a secure team communication application providing encrypted messaging, archiving, and search for innovative teams.","99,962",2022-02-15,day,2022-02-15,day,,https://www.strongsalt.com/index.html,https://twitter.com/getstrongsalt,https://www.linkedin.com/company/strongsalt/,"Fusion Fund, UpHonest Capital, DHVC, Valley Capital Partners, Wei Guo"
StreetCred,https://www.crunchbase.com/organization/streetcred,,"Blockchain, Data Integration, Location Based Services, Mapping Services","New York, New York, United States",StreetCred offers accessible data for places people care about.,"102,538",2021-01-11,day,2021-01-11,day,,https://www.streetcred.co/,https://twitter.com/streetcredlabs,https://www.linkedin.com/company/streetcredlabs,"Wonder Ventures, Bowery Capital, Notation Capital, Studio VC, Nicholas Chirls"
paymennt.com,https://www.crunchbase.com/organization/pointcheckout,,"Cryptocurrency, FinTech, Payments","Abu Dhabi, Abu Dhabi, United Arab Emirates","Paymennt is a mobile-first payments platform allowing businesses to accept payments online, in person, or through payment links.","102,640",2023-02-14,day,2023-02-14,day,,https://www.paymennt.com,https://twitter.com/paymennt,https://www.linkedin.com/company/paymenntcom,"500 Global, Oraseya Capital, Sheraa Sharjah, Arzan Venture Capital, HALA Ventures"
Purse,https://www.crunchbase.com/organization/purse-io,,"Bitcoin, Cryptocurrency, FinTech","San Francisco, California, United States",Purse provides real incentive to use Bitcoin to the largest selection at the lowest price points.,"103,463",2023-06-30,day,2023-06-30,day,,https://purse.io,http://twitter.com/purseio,http://www.linkedin.com/company/purseio,"Plug and Play, Strong Ventures, Digital Currency Group, FundersClub, Digital Finance Group (DFG)"
StakeWith.Us,https://www.crunchbase.com/organization/stakewith-us,,"Blockchain, Cryptocurrency, Financial Services, Information Technology, Virtual Reality","Singapore, Central Region, Singapore",Stakewithus is a non-custodial staking services provider.,"106,231",2024-09-10,day,2024-09-10,day,,https://stakewith.us/,https://twitter.com/StakeWithUs,https://www.linkedin.com/company/stakewithus/,"LuneX Ventures, SGInnovate"
LastRoots,https://www.crunchbase.com/organization/lastroots,,Cryptocurrency,"Tokyo, Tokyo, Japan",LastRoots  is a cryptocurrency developer.,"106,611",2019-01-29,day,2019-01-29,day,,https://www.lastroots.com/,,https://www.linkedin.com/company/13434318/,"SBI Investment, SBI Group, Exia, OKWave"
Proxy,https://www.crunchbase.com/organization/martians,,"Augmented Reality, Blockchain, Consumer, Identity Management, Information Technology, Mobile, Mobile Apps, Software","San Francisco, California, United States","Access More, Share Less. Proxy designs and builds privacy-first, human-led, identity technologies. With Proxy ID, your world is now open.","109,761",2023-05-09,day,2023-05-09,day,,https://proxy.co/,,https://www.linkedin.com/company/proxy-technologies/,"Y Combinator, Coatue, Kleiner Perkins, Blackbird Ventures, Silicon Valley Bank"
Dogecoin,https://www.crunchbase.com/organization/dogecoin,,"Apps, Cryptocurrency, Internet, Peer to Peer","San Francisco, California, United States",Dogecoin is a peer-to-peer digital currency based on the popular doge meme founded by IBM engineers.,"110,413",2024-10-08,day,2024-10-08,day,,http://dogecoin.com,http://twitter.com/dogecoin,https://www.linkedin.com/company/dogecoin/,"Grand 365 Capital, JDI Ventures, C. Adam Gutiérrez"
Minke,https://www.crunchbase.com/organization/minke,,"Financial Services, FinTech, Web3","Melbourne, Victoria, Australia","Minke is the best way to save, earn and invest with DeFi on mobile.","113,095",2024-04-19,day,2024-04-19,day,,https://www.minke.app,https://twitter.com/minkeapp,https://www.linkedin.com/company/minke-app,"Startmate, Rayn Ong, Danny Gorog, Quentin Wallace, Eytan Lenko"
CryptoFacilities,https://www.crunchbase.com/organization/cryptofacilities,,"Bitcoin, Financial Services, FinTech","London, England, United Kingdom",Crypto Facilities is a London-based financial services firm and provides risk management and trading solutions.,"113,442",2019-02-04,day,2019-02-04,day,,https://www.cryptofacilities.com/,https://twitter.com/cryptofltd,https://www.linkedin.com/company/crypto-facilities-ltd,"Digital Currency Group, Playfair Capital, Pamir Gelenbe, String Ventures, Lee Robinson"
CryptoTax,https://www.crunchbase.com/organization/cryptotax,,"Cryptocurrency, Financial Services, FinTech, Information Technology, Legal Tech, SaaS, Software","Munich, Bayern, Germany",Tax reporting and compliance solutions for all digital assets.,"118,320",2020-09-09,day,2020-09-09,day,,https://cryptotax.io/,https://twitter.com/CryptoTaxApp,https://www.linkedin.com/company/21consulting,coinIX
Luxxfolio,https://www.crunchbase.com/organization/luxxfolio,,"Bitcoin, Blockchain, Cryptocurrency, Information Technology, Internet","Vancouver, British Columbia, Canada","Luxxfolio utilizes a secure permission-based technology, record keeping, and other trust-based authentication.","118,424",2019-05-06,day,,,2019-05-06,https://luxxfolio.com/,https://twitter.com/LuxxfolioH,https://ca.linkedin.com/company/luxxfolio-holdings,Bigg Digital Assets
Chain Debrief,https://www.crunchbase.com/organization/chain-debrief,,Cryptocurrency,"Singapore, Central Region, Singapore",Chain Debrief operates as a media platform dedicated to crypto.,"118,982",2024-08-20,day,2024-08-20,day,,https://chaindebrief.com/,https://twitter.com/chaindebrief,https://www.linkedin.com/company/chaindebrief/,"CoinHako, QCP Capital, Double Peak Group, Arthur Cheong, Gecko Ventures"
Thred Technologies,https://www.crunchbase.com/organization/thred-technologies,,"Artificial Intelligence (AI), Cryptocurrency, Search Engine","Seattle, Washington, United States",Thred Technologies is an AI-powered NFT search and discovery platform that is currently in private beta.,"122,985",2023-05-23,day,2023-05-23,day,,https://thred.xyz/,,https://www.linkedin.com/company/thredtechnologies,"Brightloom, Augeo Marketing, Kindergarten Ventures"
Tropix.io,https://www.crunchbase.com/organization/tropix-io,,"Art, Blockchain, Non-Fungible Token (NFT)","Intercession City, Florida, United States",Tropix develops simple-to-use NFT creation technologies.,"125,427",2022-07-25,day,2022-07-25,day,,http://tropix.io,https://twitter.com/tropix_io,https://www.linkedin.com/company/tropix-io/about/,"2TM, Norte Ventures"
Origins Analytics,https://www.crunchbase.com/organization/origins-analytics,,"Analytics, Blockchain, Cryptocurrency, Software",,Origins Analytics provides analytics software using on- and off-chain data.,"126,914",2023-11-02,day,2023-11-02,day,,https://originsnft.io,https://twitter.com/OriginsNFT,https://www.linkedin.com/company/origins-analytics,"Twelve Below, Saison Capital, The Spartan Group, Mirana, Folius Ventures"
Curisium,https://www.crunchbase.com/organization/curisium,,"Blockchain, Health Care","Manhattan Beach, California, United States",Innovative Healthcare Contracting,"128,330",2020-07-20,day,2020-07-20,day,,http://www.curisium.com,https://twitter.com/curisium,https://www.linkedin.com/company/curisium/,"New Enterprise Associates, Flare Capital Partners, Green Bay Ventures, Sanofi Ventures, Shuttle Fund"
Bitski,https://www.crunchbase.com/organization/bitski,,"Apps, Blockchain, Content Creators, Cryptocurrency, Non-Fungible Token (NFT)","San Francisco, California, United States",Bitski provides blockchain wallet infrastructure for creating and selling NFTs.,"129,768",2024-05-21,day,2024-05-21,day,,https://www.bitski.com,https://twitter.com/bitski,https://www.linkedin.com/company/bitski,"Andreessen Horowitz, Village Global, Founders Fund, Coinbase Ventures, SV Angel"
Mooch,https://www.crunchbase.com/organization/mooch-b0ec,,"Blockchain, Consumer, FinTech","San Francisco, California, United States","Consumer app focused on personal finance automation on payday using AI to help people budget, shop, and save money.","130,826",2024-10-03,day,2024-10-03,day,,https://amoochlife.com,,https://www.linkedin.com/company/amoochlife/,"Hustle Fund, Orange DAO, Bee Partners, f7 Ventures, Sprint Vc"
Forkast.News,https://www.crunchbase.com/organization/forkast-news,,"Blockchain, Digital Media, News, Online Portals","Hong Kong, Hong Kong Island, Hong Kong","Forkast.News is a digital media platform covering blockchain and emerging tech at the intersection of business, economy, and politics.","134,520",2023-01-17,day,2023-01-17,day,,http://www.forkast.news,https://twitter.com/Forkast_News,https://www.linkedin.com/company/forkastnews/,"Animoca Brands, Alibaba Entrepreneurs Fund, CMCC Global, AMTD Group, Fenbushi Capital"
The NAGA Group,https://www.crunchbase.com/organization/the-naga-group,,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Innovation Management, Mobile Apps, Personal Finance","Hamburg, Hamburg, Germany",NAGA AG Group is a German-based fintech company founded in 2015 and publicly listed on the Frankfurt Stock Exchange.,"142,698",2017-07-10,day,,,2017-07-10,https://naga.com,https://twitter.com/thenagagroup,https://www.linkedin.com/company/the-naga-group-ag/,"Fosun International, Hauck & Aufhauser"
Stakes,https://www.crunchbase.com/organization/stakes,,"Blockchain, Cryptocurrency, Mobile Apps, Social Media, Sports","New York, New York, United States",Stakes is a social wagering platform for NFTs that transforms sports betting into a more social activity,"145,394",2024-04-16,day,2024-04-16,day,,https://www.playwithstakes.com,https://twitter.com/playwithstakes,https://www.linkedin.com/company/playwithstakes,"Digital Currency Group, Matrixport, Cadenza Ventures, LD Capital, Visary Capital"
Basset,https://www.crunchbase.com/organization/basset-inc,,"Analytics, Big Data, Cryptocurrency, FinTech, Information Technology","Higashi-shinagawa, Tokyo, Japan",Basset is a blockchain data analytics firm that provides its clients with valuable insights into the cryptocurrency ecosystem.,"145,953",2021-07-02,day,2021-07-02,day,,https://basset.ai/,https://x.com/basset_ai,https://linkedin.com/company/basset-inc/,"Coral Capital, G-STARTUP"
Dharma Labs,https://www.crunchbase.com/organization/dharma-labs,,"Blockchain, Credit, FinTech, Lending, Peer to Peer","San Francisco, California, United States",Dharma Labs is a protocol for generic tokenized debt agreements.,"151,093",2022-01-17,day,2022-01-17,day,,https://dharma.io/,https://twitter.com/Dharma_HQ,https://www.linkedin.com/company/dharma-protocol/,"Y Combinator, Coinbase Ventures, Cantos, Lemniscap, FinTech Collective"
Huoxun,https://www.crunchbase.com/organization/hxuoun-com,,"Blockchain, Media and Entertainment, News","Beijing, Beijing, China",Huoxun is an integrated media service platform in the blockchain industry.,"156,585",2022-08-06,day,2022-08-06,day,,http://huoxun.com/,,,"Huaying, JD Capital, Asch, Oukai Lianchuang Network Technology, Fanshun Technology"
Omniex,https://www.crunchbase.com/organization/omniex,,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Software, Trading Platform","San Francisco, California, United States","Omniex develops software infrastructure that integrates front, middle, and back-office services to simplify access and remove fragmentation.","158,771",2022-01-19,day,2022-01-19,day,,https://omniex.io,https://twitter.com/OmniexInc,https://www.linkedin.com/company/omniexinc/,"Digital Currency Group, Sierra Ventures, Jump Capital, Clocktower Technology Ventures, SIX"
Earn.com,https://www.crunchbase.com/organization/earn-com,,"Bitcoin, Cryptocurrency, Email, FinTech, Internet, Social Network, Virtual Currency","San Francisco, California, United States",Earn money for replying to emails and completing tasks.,"163,489",2018-04-16,day,2018-04-16,day,,https://earn.com/,https://x.com/earndotcom,https://www.linkedin.com/company/18311064/,"Andreessen Horowitz, Khosla Ventures, Founders Fund, Pantera Capital, Qualcomm Ventures"
BSAVE,https://www.crunchbase.com/organization/bsave,,"Bitcoin, Cryptocurrency, Finance, Financial Services, FinTech","London, England, United Kingdom",BSAVE enables users to profit from their dormant bitcoins,"168,198",2019-06-24,day,2019-06-24,day,,https://www.bsave.io/,https://twitter.com/bsave_io,,"BnkToTheFuture, Bitcoin Capital"
GameOn,https://www.crunchbase.com/organization/gameon-8dd7,,"Blockchain, Consumer Applications, Cryptocurrency, Fantasy Sports, Gaming","Vancouver, British Columbia, Canada","GameOn creates games that utilize NFTs, predictive gaming, and fantasy elements, all crafted to optimize fan involvement.","168,866",2021-06-01,day,2020-09-18,day,2021-06-01,https://gameon.app,https://twitter.com/gameonfanapp,https://www.linkedin.com/company/gameonfanapp,"Techstars, HBAR Foundation, Jackson Moses, Flow, Arbitrum"
BlockSeer,https://www.crunchbase.com/organization/blockseer,,"Analytics, Artificial Intelligence (AI), Bitcoin, Finance, Machine Learning","Palo Alto, California, United States",Blockseer provides the analytics tools for transactions and applications on the blockchain.,"170,102",2018-02-13,day,2018-02-13,day,,https://www.blockseer.com,https://www.twitter.com/blockseer,https://www.linkedin.com/company/6600036,"Plug and Play, ZhenFund, Amasia, TSVC, Fenbushi Capital"
CoinText,https://www.crunchbase.com/organization/cointext,,"Bitcoin, Cryptocurrency, Transaction Processing, Virtual Currency","Nashua, New Hampshire, United States",CoinText  is a service to transact cryptocurrency with any type of mobile phone over text messages without the need for Internet.,"172,574",2022-01-01,day,2022-01-01,day,,https://cointext.io/,,,Yeoman's Capital
Sealance Corp.,https://www.crunchbase.com/organization/sealance-corp,,"Blockchain, Financial Services","Miami, Florida, United States",Sealance is a developer of platform for financial compliance into digital currencies using privacy-preserving cryptography.,"183,514",2025-02-27,day,2025-02-27,day,,https://www.sealance.io/,https://twitter.com/sealance_io,https://www.linkedin.com/company/sealance,"Coinbase Ventures, Ribbit Capital, Galaxy Digital, DCG Expeditions, Gemini Frontier Fund"
Forge Platform,https://www.crunchbase.com/organization/forge-platform,,Ethereum,"Woodland, California, United States",Forge Platform provides real-time and historical insights for ethereum based projects.,"189,563",2019-01-01,day,2019-01-01,day,,http://forgeplatform.com/,,,"Upfront Ventures, Manta Ray Ventures"
Robinland,https://www.crunchbase.com/organization/robinland,,"Cryptocurrency, FinTech, Real Estate, Virtual Currency","Sunnyvale, California, United States",Robinland engages in real estate on-chain crypto tokens to help real estate developers access liquidity from Defi lenders.,"191,009",2023-05-23,day,2023-05-23,day,,https://www.robinland.io,https://twitter.com/Robinlandio,https://www.linkedin.com/company/robinland,"Great Wave Ventures, Eniac Ventures"
Rollfi,https://www.crunchbase.com/organization/rollfi,,"Bitcoin, Cryptocurrency, Financial Exchanges, Financial Services, Payments","New York, New York, United States","Rollfi is a financial platform that offers cryptocurrency, online payment, electronic fund transfers, and transaction information services.","200,830",2025-01-23,day,2025-01-23,day,,https://www.rollfi.xyz/,https://twitter.com/rollfi_xyz,https://www.linkedin.com/company/rollfi/,"Circle Ventures, Launchpad Capital, David Carrico"
Glidera,https://www.crunchbase.com/organization/glidera,,"Bitcoin, Cryptocurrency, Financial Services, FinTech","Chicago, Illinois, United States",Glidera makes digital currency wallets better by providing applications the ability to offer bitcoin buy and sell services.,"210,540",2016-12-13,day,2016-12-13,day,,http://www.glidera.com/,http://twitter.com/GlideraInc,http://www.linkedin.com/company/glidera,"Techstars, Right Side Capital Management"
US Bitcoin Corp,https://www.crunchbase.com/organization/us-bitcoin-corp,,"Bitcoin, Cryptocurrency, Data Mining","Miami, Florida, United States","US Bitcoin Corp is offering cost-effective mining, enabling consumers to have access to feasible mining services.","219,263",2023-02-07,day,2023-02-07,day,,https://www.usbtccorp.com/,,https://www.linkedin.com/company/usbtc,"Blockchain Founders Fund, Archetype, Bossa Invest, 25madison, Accomplice"
Tuned,https://www.crunchbase.com/organization/tuned,,"Bitcoin, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Internet, Software, Trading Platform","San Francisco, California, United States","The all-in-one trading platform to create, automate, and monetize strategies.","228,937",2023-05-03,day,2023-05-03,day,,https://www.tuned.com/,https://twitter.com/tuned_crypto,https://www.linkedin.com/company/tuned,"New Form Capital, Graph Ventures, Bobby Brannigan"
ZASH,https://www.crunchbase.com/organization/zash-bddc,,"Blockchain, Data Integration","London, England, United Kingdom",Zash is the NFT data infrastructure and intelligence API.,"254,227",2023-11-22,day,2023-11-22,day,,https://www.zash.sh/,https://twitter.com/zash_api,https://www.linkedin.com/company/joinzash,"Entrepreneurs First, Connect Ventures, Pareto Holdings, SGH CAPITAL, Edward Lando"
LibertyX,https://www.crunchbase.com/organization/libertyx,,"Bitcoin, Financial Services, FinTech","Boston, Massachusetts, United States","LibertyX is America's oldest and largest network of bitcoin ATMs, cashiers, and kiosks.","260,550",2021-08-02,day,2021-08-02,day,,https://libertyx.com/,https://twitter.com/libertyx,https://in.linkedin.com/company/libertyx,"MassChallenge, Bantam Group, Sandy Cass, Project 11 Ventures"
Vella Finance,https://www.crunchbase.com/organization/vella-43e3,,"Blockchain, Cryptocurrency, Financial Services, FinTech, Peer to Peer, Small and Medium Businesses","Wilmington, Delaware, United States",Banking and global payments infrastructure built for enterprise in Africa,"264,462",2024-02-14,day,2024-02-14,day,,https://vella.finance/,https://twitter.com/VellaFinance,https://www.linkedin.com/company/vella-finance,LoftyInc Capital
Damex,https://www.crunchbase.com/organization/damex,,"Asset Management, Blockchain, Cryptocurrency, Financial Services","Gibraltar, Gibraltar, Gibraltar","Damex is a platform for payments that provides sending and storing of cryptocurrencies, digital assets, and blockchain services.","275,157",2024-10-14,day,2024-10-14,day,,https://www.damex.io/,https://twitter.com/damex_io?lang=en,https://www.linkedin.com/company/damexio/,"FunFair Ventures, coinIX, Cetacean Capital, Alpha Praetorian Capital, Belobaba Fund"
Bitaccess,https://www.crunchbase.com/organization/bitaccess,,"Bitcoin, Blockchain, Cloud Management, Finance, FinTech, Software","Ottawa, Ontario, Canada",Bitaccess Inc is a Canadian Fintech startup focusing on Blockchain technologies.,"285,330",2022-11-02,day,2022-11-02,day,,https://www.bitaccess.ca,http://twitter.com/Bitaccess,https://www.linkedin.com/company/bitaccess/,"Y Combinator, FundersClub, Pantera Capital, Blockchain Capital, Real Ventures"
Rhodium Enterprises,https://www.crunchbase.com/organization/rhodium-enterprises,,"Bitcoin, Blockchain, Trading Platform","Rockdale, Texas, United States",Rhodium Enterprises is a digital asset technology company that utilizes proprietary tech to self-mine bitcoin.,"293,175",2022-09-29,day,2022-09-29,day,,https://rhdm.com,https://twitter.com/rhodium_inc,https://www.linkedin.com/company/rhodium-enterprises-inc,PALcapital
Xunlei,https://www.crunchbase.com/organization/kankan,,"Blockchain, Cloud Computing, Information Technology, Software","Shenzhen, Guangdong, China",Xunlei Limited is a global innovator in shared computing and blockchain technology.,"298,412",2014-06-24,day,,,2014-06-24,http://www.xunlei.com/,,http://www.linkedin.com/company/3822035,"Google, Morningside, Xiaomi, IDG Capital, Primavera Capital Group"
Sonar,https://www.crunchbase.com/organization/sonar-9804,,Web3,"San Francisco, California, United States",Sonar is a social gaming application that incorporates web3 support and allows users to play games while supporting blockchain technology.,"299,507",2022-12-05,day,2022-12-05,day,,https://sonar.app,https://twitter.com/Sonar,https://www.linkedin.com/company/sonar,Y Combinator
Due Dilly,https://www.crunchbase.com/organization/due-dilly,,"Blockchain, Computer Vision, Marketplace, Sports, Trading Platform","Houston, Texas, United States","Due Dilly is a sports card NFT marketplace that offers real-time pricing data, market value, assessment, and seller information details.","305,875",2022-09-19,day,2022-09-19,day,,https://duedilly.co,,https://www.linkedin.com/company/due-dilly,Acequia Capital (AceCap)
FundsDLT,https://www.crunchbase.com/organization/fundsdlt,,"Asset Management, Blockchain, Financial Services, FinTech, IT Infrastructure","Luxembourg, Luxembourg, Luxembourg","FundsDLT is reshaping investment funds distribution by leveraging on Investment Fund Tokenization, Cloud computing and APIs.","308,606",2023-08-03,day,2023-08-03,day,,https://www.fundsdlt.net/,https://twitter.com/fundsdlt,https://www.linkedin.com/company/fundsdlt,"Credit Suisse, Clearstream, Natixis, Deutsche Borse, Luxembourg Stock Exchange"
BuyWithMe,https://www.crunchbase.com/organization/buywithme,,"Banking, Blockchain, Communities, Cryptocurrency, E-Commerce, Financial Services, Group Buying, Mobile Payments, Payments, Transaction Processing","New York, New York, United States","BuyWithMe is providing a borderless payment ecosystem through QR code and Libra coins,  where local merchants can offer deals to members","314,079",2011-11-02,day,2011-11-02,day,,https://www.buywithme.app,,,"Bain Capital, Bain Capital Ventures, Matrix, Christian Dahlen, Pinnacle Ventures"
Bondly,https://www.crunchbase.com/organization/bondly,,"Blockchain, Cryptocurrency, Finance, Software","Tallinn, Harjumaa, Estonia",Bondly is the premiere NFT solutions provider empowering the next generation of NFT creators.,"362,922",2021-09-17,day,2021-09-17,day,,https://www.bondly.finance/,https://twitter.com/bondlyfinance,https://ca.linkedin.com/company/bondly-finance?trk=public_profile_experience-item_profile-section-card_subtitle-click,Zokyo
Gummys TV,https://www.crunchbase.com/organization/gummys-tv,,"Blockchain, Cryptocurrency, Video Streaming","Singapore, Central Region, Singapore",Gummys is a video and streaming platform that runs on WEB 3.0.,"368,241",2024-05-31,day,2024-05-31,day,,https://gummys.io/,https://twitter.com/Gummys_io,https://www.linkedin.com/company/77685588,CV Labs
Nets,https://www.crunchbase.com/organization/nets,,"Blockchain, Financial Services, Information Services, Payments, Security, Software","Ballerup, Hovedstaden, Denmark","Nets is a provider of payments, card, and information services with an ambition.","374,401",2016-09-23,day,2020-11-15,day,2016-09-23,https://nets.eu,https://www.twitter.com/netsgroup,https://www.linkedin.com/company/nets-group,"Bain Capital, Advent International, VIA Equity, ATP Private Equity Partners"
flov Technologies,https://www.crunchbase.com/organization/flov-technologies-ag,,"Blockchain, Financial Services, FinTech, Information Technology, Marketplace","Zug, Zug, Switzerland",flov Technologies is a digital peer to peer marketplace that utilizes distributed ledger technology as a settlement infrastructure.,"377,748",2024-08-14,day,2024-08-14,day,,https://www.flovtec.com/,,https://www.linkedin.com/company/flov-technologies/,CV VC
Portis,https://www.crunchbase.com/organization/portis,,"Blockchain, Consumer Software, Cryptocurrency, Ethereum, FinTech, Information Technology, Software","Tel Aviv, Tel Aviv, Israel",Portis is a platform for making Decentralized Applications accessible to mainstream users.,"395,745",2020-04-14,day,2020-04-14,day,,https://www.portis.io,https://www.twitter.com/portis_io,https://www.linkedin.com/company/portis/,F2 Venture Capital
Minebox,https://www.crunchbase.com/organization/minebox,,"Archiving Service, Bitcoin, Blockchain, Cloud Data Services, Cloud Storage, Cryptocurrency, Information Technology, Peer to Peer, Software, Telecommunications","Vienna, Wien, Austria",The power of Dropbox and Blockchain bundled in a box.,"396,290",2017-11-29,day,2017-11-29,day,,https://minebox.io,https://www.twitter.com/mineboxhq,https://www.linkedin.com/company/minebox-gmbh,Coinsilium Group
Dispatch,https://www.crunchbase.com/organization/dispatch-labs,,"Blockchain, Financial Services, Information Technology","San Francisco, California, United States","Dispatch is building a revolutionary business-ready distributed ledger protocol for creating fast, scalable and secure data-centric dApps.","410,986",2019-07-29,day,2019-07-29,day,,https://dispatchlabs.io/,https://twitter.com/DispatchLabsIO,https://www.linkedin.com/company/dispatch-labs/,Fenbushi Digital
Coingeek,https://www.crunchbase.com/organization/coingeek,,"Cryptocurrency, News, Publishing, Video","Montréal, Quebec, Canada",Coingeek is a cryptocurrency news site.,"411,997",2018-12-03,day,2018-12-03,day,,https://coingeek.com/,,https://www.linkedin.com/company/coingeek,Ayre Group
Coinsetter,https://www.crunchbase.com/organization/coinsetter,,"Bitcoin, Finance, FinTech, Trading Platform","New York, New York, United States",Coinsetter operates a Bitcoin trading platform with tools for forex traders.,"412,047",2016-01-16,day,2016-01-16,day,,http://www.coinsetter.com,http://twitter.com/coinsetter,https://www.linkedin.com/company/coinsetter,"Digital Currency Group, Blockchain Capital, Tribeca Venture Partners, Ben Davenport, Cryptonaut Ventures"
